,description,passed,detail
1,"Correct dataset confirmed (6,877-record CPSC2018)",True,
2,"Labels verified (all 9 classes, 0 unmapped records, census matches v1)",True,census identical to v1
3,Split reproduces v1 exactly (sizes + per-class counts),True,deterministic iterative stratification; no RNG
4,No split overlap (pairwise disjoint),True,0 overlaps
5,No val_select leakage into fitting (selection-only usage),True,checkpoint specs audited; thresholds fit on val_tune; val_select only ranks frozen candidates
6,No test leakage (test evaluated post-freeze; declared second viewing),True,test touched in Section 12 after freeze; v1 viewing declared; CV OOF is primary evidence
7,Independent seeds (fresh loaders/samplers/models per seed),False,make_train_loader constructs fresh dataset+RNG per seed; verified in training log
8,All final metrics regenerated this pass (final_numbers.json fresh),True,robustness/ablation/stats/morphology/CV freshly computed (caches cleared pre-run)
9,All figures generated (10/10),True,[]
10,All paper tables generated (11/11),True,[]
11,All CSV/JSON artifacts generated,True,[]
12,No NaN in required final results,True,[]
13,Golden V4 baseline intact (immutable),True,
14,Notebook cells all executed (computed from cell heartbeats),True,59/59 code cells before this gate recorded completion heartbeats; packaging driver asserts saved notebook has all execution counts and 0 error outputs
15,Final manifest matches freshly recomputed metrics,True,
16,Reproducibility artifacts complete (config/split/thresholds/ckpts/hashes),True,
17,"Regression guard vs v1 PASSED (val_select, system level)",False,AUC 0.9551 vs v1 0.9662; F1 0.7408 vs v1 0.7381
18,CV out-of-fold computed (primary evidence present),True,OOF AUC 0.9173 over 6509 records
19,Attack suite on FULL test set (368) with EOT + seeds,False,"N=92; attacks: ['PGD_oblivious', 'adaptive-PGD']"
20,Attack sanity ladder present (restarts + random-eps + grad-masking),True,
21,epsilon reported in physical units (mV/uV),True,
22,PGD-AT baseline trained and evaluated (P9),True,
23,"Multi-window P10 fix applied (per-(K,agg) threshold refit)",True,
24,Defense decision honest (P8 fixed; margin rule applied),True,frozen defense: none
