cpsc_class,cpsc_snomed_code,external_snomed_code,external_label_name,mapping_type,exact_or_equivalent,rationale,external_code_instances,included_for_primary_evaluation
SR,426783006,426783006,Sinus Rhythm,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,8125,True
AF,164889003,164889003,Atrial Fibrillation,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,1780,True
IAVB,270492004,270492004,1 degree atrioventricular block,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,1140,True
LBBB,164909002,164909002,left front bundle branch block,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,240,True
RBBB,59118001,59118001,right bundle branch block,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,649,True
RBBB,713427006,713427006,complete right bundle branch block,clinically-equivalent fold (CPSC-validated),equivalent,CPSC-side fold into RBBB; concept identity pre-validated on the CPSC corpus (cell c08); no broad or visually-similar concept added,1096,True
PAC,284470004,284470004,atrial premature beats,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,1312,True
PAC,63593006,63593006,supraventricular premature beats,clinically-equivalent fold (CPSC-validated),equivalent,CPSC-side fold into PAC; concept identity pre-validated on the CPSC corpus (cell c08); no broad or visually-similar concept added,9,True
PVC,427172004,427172004,premature ventricular contractions,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,1091,True
PVC,17338001,17338001,ventricular premature beat,clinically-equivalent fold (CPSC-validated),equivalent,CPSC-side fold into PVC; concept identity pre-validated on the CPSC corpus (cell c08); no broad or visually-similar concept added,294,True
PVC,164884008,164884008,ventricular ectopic beats,clinically-equivalent fold (CPSC-validated),equivalent,CPSC-side fold into PVC; concept identity pre-validated on the CPSC corpus (cell c08); no broad or visually-similar concept added,0,True
STD,429622005,429622005,ST drop down,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,1668,True
STE,164931005,164931005,ST tilt up,exact (same SNOMED-CT concept),exact,identical SNOMED-CT concept used by both corpora,176,True
